"V1","V2","V3","OBS","temp1","temp2","temp3","h1","h2","h3","conif","black"
0,0,0,0,7.0541610750726,6.89957285558899,8.75209254421738,10,12,20,0,1
0,0,1,1,9.37396884540583,10.462651773164,10.1406342128883,8,14,31,0.5,1
1,0,1,2,7.88706780227196,10.7613825246302,11.5339422479429,8,12,27,0.8,0
0,0,1,1,7.14955791994819,8.01093562388297,11.6785245499832,8,16,24,0.7,0
0,0,0,0,7.33896738607386,7.00262632861797,5.1071328067155,8,16,26,0.4,1
1,1,1,3,10.9823966116367,9.56335218158188,12.2642384247573,12,15,26,0.8,1
1,0,1,2,7.97302978692438,7.9594668815079,12.18838263558,8,13,25,0.9,1
1,1,1,3,9.96072846011063,9.20982402042744,10.7026771092982,8,14,27,1,1
1,1,0,2,7.7469977792856,8.78737600520737,10.2835226189415,12,11,25,0.9,1
1,1,0,2,7.49411782807386,9.01989585812764,10.7857009990751,9,18,21,0.8,0
0,1,1,2,8.81735277874827,9.40464519497431,9.59112498338717,11,15,30,0.9,1
0,0,1,1,7.16537872082272,9.11550055967741,12.0225359012128,8,19,25,0.4,0
0,1,0,1,8.00152473128028,9.95829642286163,11.3994677185291,4,20,25,0.8,0
0,0,1,1,8.1976197277447,8.8519290741712,11.2206113354449,7,13,30,0.6,1
1,1,1,3,10.5043603128384,10.7888472383884,13.6234026162731,9,14,21,0.8,1
1,1,0,2,7.45312753952213,9.77921601803737,10.7246532847245,10,17,24,0.7,1
0,0,0,0,7.29565883174633,9.54811207478497,6.69268757026033,7,17,24,0.3,1
1,1,0,2,8.05870044309978,8.58714876540017,12.0841805296806,8,16,24,0.9,1
1,1,1,3,9.20218589481397,8.688412239539,12.8361168931986,8,18,28,0.9,0
1,0,0,1,8.33883010130042,9.53294871395046,12.3729074229856,9,14,25,0.4,1
0,0,0,0,7.28330923488238,9.53684021684916,6.69109083048495,6,18,25,0.4,1
1,0,1,2,7.95813463369291,8.42780729751248,12.4203127343671,13,17,25,0.7,0
1,1,0,2,9.27700819250932,8.33244849005834,10.640330787632,12,13,29,0.7,1
1,1,0,2,7.83094910367791,9.81682715066826,13.0061836523229,4,16,26,0.8,0
0,0,0,0,9.48386949294361,8.16468715441037,7.70123468185386,10,15,28,0.2,0
1,0,1,2,9.24399495567252,8.41434672349473,10.0729977427446,8,13,25,0.8,1
1,1,1,3,11.0417038245603,7.43644253211308,13.6702221776671,15,13,29,1,1
0,1,1,2,6.18255069972324,9.03392193944935,11.1198000692132,9,16,27,1,0
0,0,1,1,9.54016585577486,9.56693275606044,10.7926426778635,6,16,21,0.6,1
1,1,0,2,7.65727222194477,11.2775759786962,10.271477034562,9,14,24,0.7,0
0,0,0,0,6.4245114113166,9.01177574997299,6.68416932295719,9,17,24,0,0
0,0,0,0,7.08032023014928,8.72255494305046,7.32532694400607,10,14,25,0.3,1
1,1,1,3,10.884180816199,9.26997294126551,13.8942394139126,6,14,24,0.9,1
1,1,0,2,8.32729125892306,9.69094965206165,10.1628923340466,9,11,26,1,1
0,1,1,2,8.35445260494589,8.47480056172414,11.2485836111433,9,16,23,0.9,1
1,1,0,2,6.71725989084718,7.87944405898859,11.5345586277958,7,18,31,0.9,0
0,0,0,0,7.24313807929326,8.65191003686579,7.05645999430592,10,16,28,0.2,1
0,0,0,0,6.8968286541082,7.38991742757094,7.69086371743856,9,15,29,0,1
0,0,0,0,6.49031963758472,8.07293941205908,6.70586349771702,7,11,29,0,1
0,0,1,1,9.61405945354246,8.98959667085911,12.3011402746681,8,14,23,0.7,1
0,1,1,2,7.04891451720728,10.4690332156625,10.4681512007341,8,14,26,0.9,1
